q 6:00 ot 4:00
Connor Jacob
q1 5:51 2-0
q1 5:26 2-3
q1 4:42 4-3
q1 3:34 4-6
q1 3:04 6-6
q1 2:46 8-6
q1 2:21 11-6
q1 2:00 13-6
q1 1:33 13-9
q1 1:17 15-9
q1 0:06 15-12
q2 5:38 17-12
q2 5:21 19-12
q2 4:40 21-12
q2 4:00 23-12
q2 3:19 26-12
q2 2:35 26-15
q2 2:03 28-15
q2 0:59 30-15
q3 5:40 30-18
q3 5:15 32-18
q3 4:20 32-20
q3 3:56 32-23
q3 2:42 32-26
q3 2:31 34-26
q3 2:05 36-26
q3 1:28 38-26
q3 0:45 38-29
q3 0:29 40-29
q3 0:20 40-32
q3 0:03 40-35
q4 5:41 40-38
q4 5:30 42-38
q4 5:02 44-38
q4 4:52 44-41
q4 4:29 44-44
q4 4:16 45-44
q4 3:43 47-44
q4 3:09 49-44
q4 1:59 51-44
q4 1:43 51-46
q4 1:20 51-48
q4 0:15 52-48
q4 0:09 52-50
q4 0:03 52-53
q4 0:01 54-53
