q 6:00 ot 4:00
Connor Jacob
q1 5:29 2-0
q1 5:19 2-3
q1 4:37 4-3
q1 4:05 7-3
q1 3:23 7-5
q1 3:22 7-7
q1 3:07 9-7
q1 2:57 9-10
q1 0:52 11-10
q1 0:00 11-10
q2 5:21 13-10
q2 5:09 13-12
q2 4:51 13-15
q2 4:25 13-18
q2 3:20 15-18
q2 1:57 15-21
q2 1:34 17-21
q2 1:09 17-24
q2 0:45 19-24
q2 0:00 19-24
q3 5:23 19-27
q3 4:39 21-27
q3 3:18 21-29
q3 2:41 23-29
q3 1:20 25-29
q3 1:04 25-32
q3 0:34 27-32
q3 0:00 27-32
q4 5:51 29-32
q4 4:49 29-34
q4 4:30 31-34
q4 4:20 31-37
q4 3:42 33-37
q4 2:42 35-37
q4 1:52 37-37
q4 1:39 37-39
q4 1:02 39-39
q4 0:52 39-42
q4 0:13 39-44
