q 6:00 ot 4:00
Connor Jacob
q1 6:00 0-0
q1 5:22 2-0
q1 4:41 4-0
q1 4:04 4-2
q1 3:20 6-2
q1 2:39 8-2
q1 2:02 8-5
q1 1:47 10-5
q1 1:22 13-5
q1 0:50 13-8
q1 0:00 13-8
q2 5:51 15-8
q2 4:31 17-8
q2 4:09 19-8
q2 4:00 19-10
q2 3:25 21-10
q2 2:51 21-12
q2 2:18 21-14
q2 1:56 21-17
q2 1:44 23-17
q2 0:51 23-20
q2 0:16 25-20
q2 0:00 25-20
q3 5:42 27-20
q3 5:06 29-20
q3 4:46 31-20
q3 4:33 31-22
q3 3:52 31-25
q3 3:40 33-25
q3 3:19 36-25
q3 2:33 36-27
q3 1:48 38-27
q3 1:23 40-27
q3 0:02 40-30
q3 0:00 40-30
q4 5:23 42-30
q4 5:15 42-32
q4 4:23 42-34
q4 3:27 42-36
q4 3:12 42-39
q4 2:58 44-39
q4 2:48 44-42
q4 1:35 46-42
q4 1:22 46-44
q4 1:10 48-44
q4 0:59 48-46
q4 0:04 49-46
q4 0:00 49-46
