q 6:00 ot 4:00
Connor Jacob
q1 5:51 2-0
q1 5:31 4-0
q1 5:08 6-0
q1 4:38 6-2
q1 4:30 9-2
q1 4:18 9-5
q1 3:13 11-5
q1 2:51 14-5
q1 2:20 17-5
q1 1:51 17-8
q1 1:37 20-8
q1 0:45 20-10
q1 0:20 23-10
q1 0:00 23-10
q2 5:38 26-10
q2 5:07 28-10
q2 4:31 28-11
q2 4:22 31-11
q2 3:54 31-13
q2 3:35 31-16
q2 2:20 33-16
q2 1:12 35-16
q2 0:55 37-16
q2 0:40 37-18
q2 0:19 37-20
q2 0:01 37-22
q2 0:00 37-22
q3 5:25 37-24
q3 4:05 37-27
q3 3:52 39-27
q3 3:27 39-29
q3 3:14 41-29
q3 2:52 43-29
q3 2:32 43-31
q3 2:21 46-31
q3 1:56 48-31
q3 1:29 48-33
q3 0:58 50-33
q3 0:39 50-36
q3 0:10 50-38
q3 0:00 50-38
q4 5:32 50-40
q4 4:42 50-42
q4 4:26 51-42
q4 3:56 51-44
q4 3:32 51-47
q4 2:14 51-50
q4 1:56 51-53
q4 1:48 53-53
q4 1:15 55-53
q4 1:02 55-55
q4 0:52 58-55
q4 0:43 58-58
q4 0:00 58-58
ot1 3:05 58-61
ot1 2:53 60-61
ot1 2:28 62-61
ot1 1:33 62-63
ot1 1:20 62-66
ot1 1:10 64-66
ot1 0:41 67-66
ot1 0:17 69-66
ot1 0:07 69-69
ot1 0:00 69-69
ot2 3:53 71-69
ot2 3:06 71-72
ot2 2:55 73-72
ot2 1:54 73-74
ot2 1:42 75-74
ot2 1:28 75-76
ot2 0:53 77-76
ot2 0:27 80-76 
ot2 0:14 82-76
ot2 0:10 82-79
ot2 0:09 84-79
ot2 0:03 84-81
ot2 0:02 85-81
ot2 0:00 85-81
