q 6:00 ot 4:00
Connor Jacob
q1 5:47 2-0
q1 5:08 5-0
q1 4:25 5-2
q1 4:03 7-2
q1 3:48 7-5
q1 3:28 9-5
q1 2:43 9-7
q1 2:29 9-10
q1 2:17 9-12
q1 1:59 9-15
q1 1:00 11-15
q1 0:26 11-16
q2 5:33 13-16
q2 5:07 16-16
q2 4:36 18-16
q2 4:12 18-18
q2 3:25 20-18
q2 3:00 20-20
q2 2:12 23-20
q2 2:00 23-22
q2 1:39 23-25
q2 1:27 25-25
q2 1:19 27-25
q2 0:58 27-27
q2 0:28 30-27
q3 5:15 32-27
q3 4:58 32-29
q3 4:02 35-29
q3 3:51 35-32
q3 2:40 35-34
q3 2:25 37-34
q3 2:16 39-34
q3 1:48 39-37
q3 1:14 41-37
q3 0:40 41-40
q3 0:20 41-42
q3 0:03 43-42
q4 5:48 43-45
q4 4:52 45-45
q4 4:38 47-45
q4 3:48 47-48
q4 3:32 47-50
q4 3:12 50-50
q4 2:59 50-53
q4 2:43 53-53
q4 2:23 56-53
q4 1:58 59-53
q4 1:34 59-55
q4 1:12 62-55
q4 0:57 62-57
q4 0:45 62-59
